Code,Company,City,Country
QUBU,QUBE CONTAINERS LIMITED,London,United Kingdom
RACU,HERMES LOGISTICA SA,BARCELONA,Spain
RAEU,"REACH AMERICA ESG, LTD.","SAN JOSE, CA 95110",United States
RAFU,PDAD PRODUCTOS DEL AIRE DOMINICANA SA,SAN PEDRO DE MACORIS,Dominican Republic
RAIU,RAINBOW CONTAINERS GMBH,APENSEN,Germany
RALU,ROYAL ARCTIC LINE A/S,NUUK,Greenland
RASU,RASEEF CONTAINERS SERVICES LLC,Amman,Jordan
RAVU,FLEXBOX COLUMBIA SAS,BOGOTA,Colombia
RAYU,KNOW HOW TRADING B.V.,Willemstad,Netherlands
RBBU,BESED LLC,STERLITAMAK,Russian Federation
RBCU,RB HOLDING B.V.,ELSLOO,Netherlands
RBEU,RAT LOGISTICS GMBH,MANNHEIM,Germany
RBOU,REEFERBOX CO,Alleroed,Denmark
RCBU,BIGGE CRANE AND RIGGING CO,"SAN LEANDRO, CA 94577",United States
RCDU,UNIT45 BV,ROTTERDAM,Netherlands
RCIU,BRENNTAG SPA,Assago,Italy
RCLU,R.M.I. CHEMICAL LOGISTICS BV,ROTTERDAM,Netherlands
RCOU,"ROYAL CARGO, INC.",Paranaque City,Philippines
RCTU,DEFENCE CONTAINER MANAGEMENT SERVICE,"BICESTER, OXFORDSHIRE OX26 6JP",United Kingdom
RCXU,R.C.C CONTAINERS BV,ROTTERDAM-BOTLEK,Netherlands
RDCU,LIGNES MARITIMES CONGOLAISES (L.M.C),KINSHASA,Congo
RDHU,ELECTRONIC MATERIALS,SEELZE,Germany
RDLU,RODELLA TRASPORTI SRL,MEDOLE (MN),Italy
RDMU,RODYMAR SHIPPING CO,PORT SAID,Egypt
RDRU,ROEDER CARTAGE CO INC,"LIMA, OH 45801",United States
RDXU,"RADIX CO., LTD.",Seoul,"Korea, Republic of"
REAU,ANDRADE & SANTOS LOCACAO DE MODULOS E IMPORTAÇÃO LTDA,SANTOS,Brazil
REDU,SITEBOX STORAGE,"WICHITA, KS-67217",United States
REFU,PETIT FORESTIER CONTAINER NEDERLAND BV,ROTTERDAM,Netherlands
REGU,RCL FEEDER PTE LTD,Singapore,Singapore
RELU,RINCHEM EQUIPMENT LEASING,ALBUQUERQUE,United States
RETU,REPARACIONES TECNICAS DE CONTENEDORES S.L.,Pinto,Spain
REVU,REVISS SERVICES (UK) LTD,"ABINGDON, OXON",United Kingdom
REWU,RENTAL WORLD HOLDING BV,OUD-BEIJERLAND,Netherlands
REYU,REYSAS TASIMACILIK ve LOJISTIK TIC.LTD.STI.,ÜSKÜDAR / ISTANBUL,Turkey
RFBU,BIMICON CONTAINER SERVICE GMBH,Hamburg,Germany
RFCU,RAFFLES LEASE PTE Ltd.,Singapore,Singapore
RFLU,INTERMODAL TANK TRANSPORT INC.,"HOUSTON,TX 77064",United States
RFSU,TEXTAINER EQUIPMENT MANAGEMENT LIMITED,"SAN FRANCISCO, CA 94108",United States
RFTU,REFTERMINAL LTD,VLADIVOSTOK,Russian Federation
RFUU,REFAGROTRANS,Moscow,Russian Federation
RGAU,RENEGADE GAS PTY LTD,Ingleburn,Australia
RGCU,RAVA GROUP CONTAINER SERVICES,"Medley, FL-33178",United States
RGHU,RICH GLORY (HONG KONG) LIMITED,HONG KONG,HK
RGTU,RIGTANK GLOBAL S.A.,PANAMA CITY,Panama
RHAU,LLC RAILGO,CITY OF UFA (REPUBLIC OF BASHKORTOSTAN),Russian Federation
RHNU,"LIMITED LIABILITY COMPANY ""VENTEK""",VLADIVOSTOK,Russian Federation
RHTU,TRANSPORT ROGER HEINEN,EUPEN,Belgium
RIBU,RIBARROJA STATION S.L.,Ribarroja del Turia (Valencia),Spain
RICU,RINNEN GMBH & CO KG,MOERS,Germany
RIEU,OOSTERHOUT CONTAINER TERMINAL,Oosterhout,Netherlands
RIGU,CARGOSTORE WORLDWIDE TRADING LIMITED,LONDON SW19 7QD,United Kingdom
RIIU,RINA SERVICES S.P.A.,GENOVA,Italy
RINU,HERMANN RINNEN JUNIOR,MOERS,Germany
RIVU,RIVOIRA OPERATIONS,MILANO,Italy
RJCU,FLEXBOX COLUMBIA SAS,BOGOTA,Colombia
RKHU,RIN KAGAKU KOGYO CO LTD,TOYAMA,Japan
RKNU,ROKONORD LTD,SAINT PETERSBOURG,Russian Federation
RKSU,"LLC ""RUSKITSOYUZ LK""",NOVOSIBIRSK,Russian Federation
RLCU,DEFENCE CONTAINER MANAGEMENT SERVICE,"BICESTER, OXFORDSHIRE OX26 6JP",United Kingdom
RLSU,RR SHIPPING PRIVATE LIMITED,NAVI MUMBAI,India
RLTU,RAFFLES LEASE PTE Ltd.,Singapore,Singapore
RMBU,LLC RIHANAEXPORT,Minsk,Belarus
RMCU,MULTISTAR LEASING LTD,CHESHIRE CW11 1BA,United Kingdom
RMGU,"RESOLVE MARINE GROUP, INC.","Fort Lauderdale, FL 33316",United States
RMMU,EMERSON CLIMATE TECHNOLOGIES,HOJBJERG,Denmark
RMSU,"TRANSPORTS F.RAMOS,S.L",REUS,Spain
RMTU,R.M.I. CHEMICAL LOGISTICS BV,ROTTERDAM,Netherlands
RNMU,RNM TRANSPORTE QUIMICOS LDA,VILA NOVA FAMALICAO,Portugal
ROAU,ROAM GLOBAL SOLUTIONS LLC,"HOUSTON, TX-77035",United States
ROBU,ROBERTO BUCCI S.P.A,NAPLES,Italy
ROCU,ROLAND UMSCHLAGSGESELLSCHAFT,Bremen,Germany
RODU,MAURITIUS SHIPPING CORPORATION LTD,PORT LOUIS,Mauritius
ROEU,CONTAINERHANDEL CARSTEN ROEHE GMBH,HAMBURG,Germany
RONU,"IRONG SHIPPING (TIANJIN) CO.,LTD.",TIANJIN,China
ROSU,ROOS SPEDITION GMBH,DURMERSHEIM,Germany
ROUU,ITA ROUTE,ARQUES,France
ROXU,EMCO MARINE LTD / CONTAINERS DPT.,HAIFA,Israel
RPBU,GVT INTERMODAL FREIGHTMANAGEMENT B.V.,TILBURG,Netherlands
RPGU,GROWTECH INDUSTRIES LLC,BUFFALO,United States
RPUU,WINCH ENERGY,Sevenoaks,United Kingdom
RRIU,TRITON INTERNATIONAL LTD,"PURCHASE, NY 10577",United States
RRMU,REMAIN GMBH CONTAINER DEPOT AND REPAIR,HAMBURG,Germany
RRPU,RESPOL RESINAS S.A.,Pinheiros-Leiria,Portugal
RRRU,REBLOCK CONTAINER AS.,LILLESTROM,Norway
RRSU,ARCTIC REEFER SERVICE & REPAIR B.V,ROTTERDAM,Netherlands
RRXU,PETIT FORESTIER CONTAINER NEDERLAND BV,ROTTERDAM,Netherlands
RSBU,RSB LOGISTIC PROJEKSPEDITION GMBH,COLOGNE,Germany
RSEU,REEFER SALES EUROPE BV,ROTTERDAM,Netherlands
RSFU,RSL FREIGHT CO LLC,PO BOX 112076 - 009714 DUBAI,United Arab Emirates
RSGU,SIA REAL INVESTMENT,RIGA,Latvia
RSIU,"RASA INDUSTRIES, LTD.",Tokyo,Japan
RSLU,MATSON SOUTH PACIFIC LTD,AUCKLAND,New Zealand
RSPU,"REACH HOLDING GROUP (SHANGHAI) CO.,LTD",SHANGHAI,China
RSSU,ROYAL WOLF TRADING AUSTRALIA PTY LTD,GORDON,Australia
RSTU,UNIT45 BV,ROTTERDAM,Netherlands
RSVU,JSC REFSERVICE,Moscow,Russian Federation
RTAU,ROBOTANKS,KYIV,Ukraine
RTBU,RTSB GMBH,Friedrichsdorf,Germany
RTGU,TEHGAZ LLC,ORENBURG,Russian Federation
RTHU,CARU CONTAINERS BV,ROTTERDAM,Netherlands
RTMU,ROTTERDAM TANKCONTAINERS LEASING,BERGENKOEK,Netherlands
RTSU,ROBERT KUKLA GMBH,MUNICH,Germany
RTTU,RASA TECHNOLOGY TAIWAN LTD,TAICHUNG COUNTY,"Taiwan, China"
RTVU,DAILY RENTAL SERVICES BV,ROTTERDAM,Netherlands
